"hcpcs_code","hcpcs_description","ccs_code","ccs_desc"
"00566","Anesthesia for heart artery bypass grafting",232,"Anesthesia"
"00567","Anesthesia for heart artery bypass grafting on heart-lung machine",232,"Anesthesia"
"00580","Anesthesia for heart or heart-lung transplant",232,"Anesthesia"
"00600","Anesthesia for procedure on upper spine and spinal cord",232,"Anesthesia"
"00620","Anesthesia for procedure on middle spine and spinal cord",232,"Anesthesia"
"00630","Anesthesia for procedure on lower spine",232,"Anesthesia"
"00635","Anesthesia for spinal tap",232,"Anesthesia"
"00640","Anesthesia for manipulation of spine",232,"Anesthesia"
"00670","Anesthesia for procedure of spine and spinal cord",232,"Anesthesia"
"00700","Anesthesia for procedure on upper front abdominal wall",232,"Anesthesia"
"00702","Anesthesia for liver biopsy",232,"Anesthesia"
"0073T","Compensator-based beam modulation radiation treatment delivery",211,"Therapeutic radiology"
"00740","Anesthesia for procedure on gastrointestinal tract using an endoscope",232,"Anesthesia"
"00750","Anesthesia for procedure to repair upper abdominal hernia",232,"Anesthesia"
"00752","Anesthesia for procedure to repair upper abdominal incisional hernia",232,"Anesthesia"
"00770","Anesthesia for procedure on major abdominal blood vessels",232,"Anesthesia"
"0078T","Insertion of prosthesis to repair a bulging defect of abdominal aorta and/or organ artery",61,"Other OR procedures on vessels other than head and neck"
"00790","Anesthesia for procedure in upper abdomen including use of an endoscope",232,"Anesthesia"
"00792","Anesthesia for partial removal of liver or management of bleeding including use of an endoscope",232,"Anesthesia"
"00794","Anesthesia for partial or total removal of pancreas including use of an endoscope",232,"Anesthesia"
"00796","Anesthesia for liver transplant recipient including use of an endoscope",232,"Anesthesia"
"00797","Anesthesia for procedure on stomach for obesity including use of an endoscope",232,"Anesthesia"
"0079T","Insertion of prosthesis to repair a bulging defect of abdominal aorta and organ artery",61,"Other OR procedures on vessels other than head and neck"
"00800","Anesthesia for procedure on lower front abdominal wall",232,"Anesthesia"
"0080T","Insertion of modular bifurcated prosthesis to repair a bulging defect of the abdominal aorta and/or organ artery",61,"Other OR procedures on vessels other than head and neck"
"00810","Anesthesia for procedure on small bowel using an endoscope",232,"Anesthesia"
"0081T","Insertion of modular bifurcated prosthesis to repair a bulging defect of the abdominal aorta and organ artery",61,"Other OR procedures on vessels other than head and neck"
"00820","Anesthesia for procedure on lower rear abdominal wall",232,"Anesthesia"
"00830","Anesthesia for lower abdominal hernia repair",232,"Anesthesia"
"00832","Anesthesia for middle or incisional abdominal hernia repair",232,"Anesthesia"
"00840","Anesthesia for procedure in lower abdominal cavity including use of an endoscope",232,"Anesthesia"
"00844","Anesthesia for procedure in lower abdominal cavity and rectum including use of an endoscope",232,"Anesthesia"
"00846","Anesthesia for removal of uterus including use of an endoscope",232,"Anesthesia"
"00860","Anesthesia for procedure in lower abdomen including urinary tract",232,"Anesthesia"
"00862","Anesthesia for removal of kidney for transplant",232,"Anesthesia"
"00864","Anesthesia for removal of urinary bladder",232,"Anesthesia"
"00865","Anesthesia for removal of prostate",232,"Anesthesia"
"00868","Anesthesia for kidney transplant",232,"Anesthesia"
"00870","Anesthesia for removal of urinary bladder stone",232,"Anesthesia"
"00872","Anesthesia for shock wave therapy for urinary system stones",230,"Extracorporeal shock wave, other than urinary"
"00873","Anesthesia for shock wave therapy for urinary system stones",230,"Extracorporeal shock wave, other than urinary"
"00880","Anesthesia for procedure on major lower abdominal wall blood vessels",232,"Anesthesia"
"00882","Anesthesia for tying of major vein in lower abdomen",232,"Anesthesia"
"00902","Anesthesia for procedure on anus and rectum",232,"Anesthesia"
"00910","Anesthesia for procedure on urinary system including use of an endoscope",232,"Anesthesia"
"00912","Anesthesia for removal of urinary bladder tumor including use of an endoscope",232,"Anesthesia"
"00914","Anesthesia for removal of prostate including use of an endoscope",232,"Anesthesia"
"00918","Anesthesia for kidney stone including use of an endoscope",232,"Anesthesia"
"00920","Anesthesia for procedure on male genitalia",232,"Anesthesia"
"00938","Anesthesia for insertion of penile prosthesis",232,"Anesthesia"
"00940","Anesthesia for vaginal biopsy of cervix, uterine lining, or external genitalia",232,"Anesthesia"
"00942","Anesthesia for repair or removal of vagina and urinary procedure",232,"Anesthesia"
"00944","Anesthesia for vaginal removal of uterus",232,"Anesthesia"
"00952","Anesthesia for examination of uterus using an endoscope",232,"Anesthesia"
"0101T","High energy shock wave therapy of musculoskeletal system",163,"Other non-OR therapeutic procedures on musculoskeletal system"
"01112","Anesthesia for bone marrow aspiration and/or biopsy at pelvic bone",232,"Anesthesia"
"01120","Anesthesia for procedure on pelvic bone",232,"Anesthesia"
"01160","Anesthesia for procedure on pubic bone or sacroiliac joint",232,"Anesthesia"
"01170","Anesthesia for surgical procedure on pubic bone or sacroiliac joint",232,"Anesthesia"
"01200","Anesthesia for procedure on hip joint",232,"Anesthesia"
"01202","Anesthesia for procedure on hip joint using an endoscope",232,"Anesthesia"
"01210","Anesthesia for surgical procedure on hip joint",232,"Anesthesia"
"01214","Anesthesia for total hip joint replacement",232,"Anesthesia"
"01215","Anesthesia for revision of total hip joint replacement",232,"Anesthesia"
"01220","Anesthesia procedure on upper two-thirds of thigh bone",232,"Anesthesia"
"01230","Anesthesia procedure on upper two-thirds of thigh bone",232,"Anesthesia"
"01232","Anesthesia for amputation at upper two-thirds of thigh bone",232,"Anesthesia"
"01250","Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of upper leg",232,"Anesthesia"
"01260","Anesthesia for procedure on veins of upper leg",232,"Anesthesia"
"01270","Anesthesia for procedure on arteries of upper leg",232,"Anesthesia"
"01272","Anesthesia for groin artery bypass graft and tying of upper leg artery",232,"Anesthesia"
"01274","Anesthesia for removal of groin artery blood clot",232,"Anesthesia"
"01320","Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of knee",232,"Anesthesia"
"01360","Anesthesia for surgical procedure on lower one-third of thigh bone",232,"Anesthesia"
"01380","Anesthesia for procedure on knee joint",232,"Anesthesia"
"01382","Anesthesia for diagnostic examination of knee joint using an endoscope",232,"Anesthesia"
"01392","Anesthesia for surgical procedure at kneecap and upper foreleg bones",232,"Anesthesia"
"01400","Anesthesia for procedure on knee including using an endoscope",232,"Anesthesia"
"01402","Anesthesia for total knee joint replacement",232,"Anesthesia"
"01440","Anesthesia for procedure on knee arteries",232,"Anesthesia"
"01462","Anesthesia for procedure on lower limb",232,"Anesthesia"
"01464","Anesthesia for procedure on lower limb using an endoscope",232,"Anesthesia"
"01470","Anesthesia procedure on nerves, muscles, tendons, and fascia of lower limb",232,"Anesthesia"
"01474","Anesthesia for procedure to repair calf muscle",232,"Anesthesia"
"01480","Anesthesia for procedure on bones of lower leg, ankle and foot",232,"Anesthesia"
"01482","Anesthesia for below the knee amputation",232,"Anesthesia"
"01486","Anesthesia for total ankle joint replacement",232,"Anesthesia"
"01500","Anesthesia for procedure on arteries of lower leg including bypass graft",232,"Anesthesia"
"01520","Anesthesia for procedure on veins of lower leg",232,"Anesthesia"
"0159T","Computer-aided detection and computer algorithm analysis of breast MRI image data",198,"Magnetic resonance imaging"
"01610","Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of shoulder and underarm",232,"Anesthesia"
"01620","Anesthesia for procedure on upper arm bone and shoulder joint",232,"Anesthesia"
"01622","Anesthesia for diagnostic examination of shoulder joint using an endoscope",232,"Anesthesia"
"01630","Anesthesia for procedure at upper arm and shoulder joint including use of an endoscope",232,"Anesthesia"
"01638","Anesthesia for total shoulder joint replacement including use of an endoscope",232,"Anesthesia"
"01670","Anesthesia for procedure on veins of shoulder and underarm",232,"Anesthesia"
"01710","Anesthesia procedure of nerves, muscles, tendons, fascia, and bursae of upper arm and elbow",232,"Anesthesia"
"0171T","Insertion of lower spine spinous process distraction device using imaging guidance",164,"Other OR therapeutic procedures on musculoskeletal system"
"0172T","Insertion of lower spine spinous process distraction device using imaging guidance",164,"Other OR therapeutic procedures on musculoskeletal system"
"01740","Anesthesia for procedure on elbow including using an endoscope",232,"Anesthesia"
"0174T","Computer algorithm analysis of digital image data",183,"Routine chest X-ray"
"01770","Anesthesia for procedure on arteries of upper arm and elbow",232,"Anesthesia"
"01780","Anesthesia for procedure on veins of upper arm and elbow",232,"Anesthesia"
"01810","Anesthesia procedure of nerves, muscles, tendons, fascia, and bursae of forearm, wrist, or hand",232,"Anesthesia"
"01820","Anesthesia for procedure on bones of forearm, wrist, or hand",232,"Anesthesia"
"0182T","High dose rate electronic brachytherapy",211,"Therapeutic radiology"
"01830","Anesthesia for surgical procedure on bones of forearm, wrist, or hand including using an endoscope",232,"Anesthesia"
"01832","Anesthesia for total wrist joint replacement including using an endoscope",232,"Anesthesia"
"01840","Anesthesia for procedure on arteries of forearm, wrist, and hand",232,"Anesthesia"
"01844","Anesthesia for placement or revision of blood flow shunt",232,"Anesthesia"
"0184T","Removal of rectal tumor using an endoscope",96,"Other OR lower GI therapeutic procedures"
"01916","Anesthesia for diagnostic X-ray procedure of arteries or veins",232,"Anesthesia"
"0191T","Internal insertion of eye fluid drainage device",14,"Glaucoma procedures"
"01920","Anesthesia for procedure on heart vessels and chambers",232,"Anesthesia"
"01922","Anesthesia for X-ray or radiation therapy",232,"Anesthesia"
"01924","Anesthesia for X-ray procedure on arteries",232,"Anesthesia"
"01925","Anesthesia for X-ray procedure on neck or heart artery",232,"Anesthesia"
"01926","Anesthesia for X-ray procedure of artery in brain, heart, or major vessel of chest (aorta)",232,"Anesthesia"
"0192T","External insertion of eye fluid drainage device",14,"Glaucoma procedures"
"01930","Anesthesia for X-ray procedure of vein or lymph system",232,"Anesthesia"
"01931","Anesthesia for X-ray procedure of liver vein or lymph system",232,"Anesthesia"
"01935","Anesthesia for diagnostic X-ray procedure of spine and spinal cord",232,"Anesthesia"
"01936","Anesthesia for X-ray procedure of spine and spinal cord",232,"Anesthesia"
"01951","Anesthesia for treatment of second and third-degree burn, less than 4% total body surface",232,"Anesthesia"
"01952","Anesthesia for treatment of second and third-degree burn, between 4% and 9% total body surface area",232,"Anesthesia"
"01953","Anesthesia for treatment of second and third-degree burn, each additional 9% total body surface area or part thereof",232,"Anesthesia"
"0197T","Localization and tracking of target or patient motion during radiation therapy delivery",211,"Therapeutic radiology"
"0198T","Measurement of eye blood flow by repeated eyeball pressure assessment",220,"Ophthalmologic and otologic diagnosis and treatment"
"01991","Anesthesia for nerve block and injection procedure",232,"Anesthesia"
"01992","Anesthesia for nerve block and injection procedure, prone position",232,"Anesthesia"
"01996","Daily hospital management of continuous spinal drug administration",232,"Anesthesia"
"01999","Anesthesia for procedure",232,"Anesthesia"
"0201T","Injections to enlarge sacrum using balloon, mechanical device, or 2 or more needles",148,"Other fracture and dislocation procedure"
"0206T","Remote analysis of ECG-derived data with computer assessment and report",202,"Electrocardiogram"
"0213T","Injection of upper or middle spine joint or nerve using ultrasound guidance",231,"Other therapeutic procedures"
"0214T","Injection of upper or middle spine joint or nerve using ultrasound guidance",231,"Other therapeutic procedures"
"0215T","Injection of upper or middle spine joint or nerve using imaging guidance",231,"Other therapeutic procedures"
"0216T","Injection of lower or sacral spine joint or nerve using ultrasound guidance",231,"Other therapeutic procedures"
"0217T","Injection of lower or sacral spine joint or nerve using ultrasound guidance",231,"Other therapeutic procedures"
"0218T","Injection of lower or sacral spine joint or nerve using imaging guidance",231,"Other therapeutic procedures"
"0226T","Diagnostic anal examination and specimen collection using an endoscope",77,"Proctoscopy and anorectal biopsy"
"0227T","Examination and biopsy of anus using an endoscope",77,"Proctoscopy and anorectal biopsy"
"0232T","Harvest and injection of platelet rich plasma using imaging guidance",231,"Other therapeutic procedures"
"0237T","Catheter removal of plaque from upper arm artery",61,"Other OR procedures on vessels other than head and neck"
"0240T","Measurement of 3D esophageal swallowing movement",97,"Other gastrointestinal diagnostic procedures"
"0249T","Suturing hemorrhoids using ultrasound guidance",81,"Hemorrhoid procedures"
"0253T","Insertion of eye fluid drainage device",14,"Glaucoma procedures"
"0256T","Catheter based placement of prosthetic aortic heart valve",43,"Heart valve procedures"
"0257T","Catheter based placement of prosthetic aortic heart valve",43,"Heart valve procedures"
"0258T","Catheter based replacement of prosthetic aortic heart valve",43,"Heart valve procedures"
"0275T","Removal of lower spine bone for decompression of neural elements using imaging guidance",3,"Laminectomy, excision intervertebral disc"
"0279T","Cell count using immunologic selection and identification in fluid specimen",235,"Other Laboratory"
"0280T","Interpretation and report of cell count using immunologic selection and identification in fluid specimen",235,"Other Laboratory"
"0281T","Catheter-delivered implant to left upper heart chamber for appendage closure using imaging",63,"Other non-OR therapeutic cardiovascular procedures"
"0291T","Iv oct for proc init vessel",62,"Other diagnostic cardiovascular procedures"
"0295T","Ext ecg complete",203,"Electrographic cardiac monitoring"
"0296T","Ext ecg recording",203,"Electrographic cardiac monitoring"
"0297T","Ext ecg scan w/report",203,"Electrographic cardiac monitoring"
"0298T","Ext ecg review and interp",203,"Electrographic cardiac monitoring"
"10021","Fine needle aspiration",173,"Other diagnostic procedures on skin and subcutaneous tissue"
"10022","Fine needle aspiration using imaging guidance",173,"Other diagnostic procedures on skin and subcutaneous tissue"
"10040","Acne surgery",168,"Incision and drainage, skin and subcutaneous tissue"
"10060","Drainage of abscess",168,"Incision and drainage, skin and subcutaneous tissue"
"10061","Drainage of multiple abscess",168,"Incision and drainage, skin and subcutaneous tissue"
"10080","Drainage of tailbone cyst",174,"Other non-OR therapeutic procedures on skin and breast"
"10081","Drainage of tailbone cyst",174,"Other non-OR therapeutic procedures on skin and breast"
"10120","Removal of foreign body from tissue",174,"Other non-OR therapeutic procedures on skin and breast"
"10121","Removal of foreign body from tissue",174,"Other non-OR therapeutic procedures on skin and breast"
"10140","Drainage of blood or fluid accumulation",168,"Incision and drainage, skin and subcutaneous tissue"
"10160","Aspiration of abscess, blood accumulation, blister, or cyst",170,"Excision of skin lesion"
"10180","Drainage of wound infection after surgery",168,"Incision and drainage, skin and subcutaneous tissue"
"11000","Removal of inflamed or infected skin",169,"Debridement of wound, infection or burn"
"11001","Removal of inflamed or infected skin",169,"Debridement of wound, infection or burn"
"11004","Removal of infected skin, tissue or muscle of genitals",169,"Debridement of wound, infection or burn"
"11005","Removal of infected skin, tissue or muscle of abdomen",169,"Debridement of wound, infection or burn"
"11006","Removal of infected skin, tissue or muscle of genitals, perineum, or abdomen",169,"Debridement of wound, infection or burn"
"11008","Removal of infected artificial material or mesh from abdomen",169,"Debridement of wound, infection or burn"
"11010","Removal of foreign material from skin and tissue at open fracture site",169,"Debridement of wound, infection or burn"
"11011","Removal of foreign material from skin, tissue, and muscle at open fracture site",169,"Debridement of wound, infection or burn"
"11012","Removal of foreign material from skin, tissue, muscle, and bone at open fracture site",169,"Debridement of wound, infection or burn"
"11042","Removal of skin and tissue first 20 sq cm or less",169,"Debridement of wound, infection or burn"
"11043","Removal of skin and muscle first 20 sq cm or less",169,"Debridement of wound, infection or burn"
"11044","Removal of skin and bone first 20 sq cm or less",169,"Debridement of wound, infection or burn"
"11045","Removal of skin and tissue each additional 20 sq cm or part thereof",169,"Debridement of wound, infection or burn"
"11046","Removal of skin and muscle each additional 20 sq cm or part thereof",169,"Debridement of wound, infection or burn"
"11047","Removal of skin and bone each additional 20 sq cm or part thereof",169,"Debridement of wound, infection or burn"
"11055","Removal of single thickened skin growth",170,"Excision of skin lesion"
"11056","Removal of 2 to 4 thickened skin growths",170,"Excision of skin lesion"
"11057","Removal of more than 4 thickened skin growths",170,"Excision of skin lesion"
"11100","Biopsy of single growth of skin, tissue, or mouth",173,"Other diagnostic procedures on skin and subcutaneous tissue"
"11101","Biopsy of each additional growth of skin, tissue, or mouth",173,"Other diagnostic procedures on skin and subcutaneous tissue"
"11200","Removal of up to 15 skin tags",170,"Excision of skin lesion"
"11201","Removal of each additional 10 skin tags",170,"Excision of skin lesion"
"11300","Shaving of 0.5 centimeters or less skin growth of the trunk, arms, or legs",170,"Excision of skin lesion"
"11301","Shaving of 0.6 centimeters to 1.0 centimeters skin growth of the trunk, arms, or legs",170,"Excision of skin lesion"
"11302","Shaving of 1.1 to 2.0 centimeters skin growth of the trunk, arms, or legs",170,"Excision of skin lesion"
"11303","Shaving of over 2.0 centimeters skin growth of the trunk, arms, or legs",170,"Excision of skin lesion"
"11305","Shaving of 0.5 centimeters or less skin growth of scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11306","Shaving of 0.6 centimeters to 1.0 centimeters skin growth of scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11307","Shaving of 1.1 to 2.0 centimeters skin growth of scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11308","Shaving of over 2.0 centimeters skin growth of scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11310","Shaving of 0.5 centimeters or less skin growth of face, ears, eyelids, nose, lips, or mouth",170,"Excision of skin lesion"
"11311","Shaving of 0.6 centimeters to 1.0 centimeters skin growth of face, ears, eyelids, nose, lips, or mouth",170,"Excision of skin lesion"
"11312","Shaving of 1.1 to 2.0 centimeters skin growth of face, ears, eyelids, nose, lips, or mouth",170,"Excision of skin lesion"
"11313","Shaving of over 2.0 centimeters skin growth of face, ears, eyelids, nose, lips, or mouth",170,"Excision of skin lesion"
"11400","Removal of growth (0.5 centimeters or less) of the trunk, arms or legs",170,"Excision of skin lesion"
"11401","Removal of growth (0.6 to 1.0 centimeters) of the trunk, arms, or legs",170,"Excision of skin lesion"
"11402","Removal of growth (1.1 to 2.0 centimeters) of the trunk, arms, or legs",170,"Excision of skin lesion"
"11403","Removal of growth (2.1 to 3.0 centimeters) of the trunk, arms, or legs",170,"Excision of skin lesion"
"11404","Removal of growth (3.1 to 4.0 centimeters) of the trunk, arms, or legs",170,"Excision of skin lesion"
"11406","Removal of growth (4.0 centimeters) of the trunk, arms, or legs",170,"Excision of skin lesion"
"11420","Removal of growth (0.5 centimeters or less) of the scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11421","Removal of growth (0.6 to 1.0 centimeters) of the scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11422","Removal of growth (1.1 to 2.0 centimeters) of the scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11423","Removal of growth (2.1 to 3.0 centimeters) of the scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11424","Removal of growth (3.1 to 4.0 centimeters) of the scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11426","Removal of growth (over 4.0 centimeters) of the scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11440","Removal of growth (0.5 centimeters or less) of the face, ears, eyelids, nose, lips, or mouth",170,"Excision of skin lesion"
"11441","Removal of growth (0.6 to 1.0 centimeters) of the face, ears, eyelids, nose, lips, or mouth",170,"Excision of skin lesion"
"11442","Removal of growth (1.1 to 2.0 centimeters) of the face, ears, eyelids, nose, lips, or mouth",170,"Excision of skin lesion"
"11443","Removal of growth (2.1 to 3.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",170,"Excision of skin lesion"
"11444","Removal (3.1 to 4.0 centimeters) growth of face, ears, eyelids, nose, lips, or mouth",170,"Excision of skin lesion"
"11446","Removal (over 4.0 centimeters) growth of the face, ears, eyelids, nose, lips, or mouth",170,"Excision of skin lesion"
"11450","Removal of skin and tissue of underarms for excessive sweating",170,"Excision of skin lesion"
"11462","Removal of skin and tissue of groin for excessive sweating",170,"Excision of skin lesion"
"11600","Removal of malignant growth (0.5 centimeters or less) of the trunk, arms, or legs",170,"Excision of skin lesion"
"11601","Removal of malignant growth (0.6 to 1.0 centimeters) of the trunk, arms, or legs",170,"Excision of skin lesion"
"11602","Removal of malignant growth (1.1 to 2.0 centimeters) of the trunk, arms, or legs",170,"Excision of skin lesion"
"11603","Removal of malignant growth (2.1 to 3.0 centimeters) of the trunk, arms, or legs",170,"Excision of skin lesion"
"11604","Removal of malignant growth (3.1 to 4 centimeters) of the trunk, arms, or legs",170,"Excision of skin lesion"
"11606","Removal of malignant growth (over 4.0 centimeters) of the trunk, arms, or legs",170,"Excision of skin lesion"
"11620","Removal of malignant growth (0.5 centimeters or less) of the scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11621","Removal of malignant growth (0.6 to 1.0 centimeters) of the scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11622","Removal of malignant growth (1.1 to 2.0 centimeters) of the scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11623","Removal of malignant growth (2.1 to 3.0 centimeters) of the scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11624","Removal of malignant growth (3.1 to 4 centimeters) of the scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11626","Removal of malignant growth (over 4.0 centimeters) of the scalp, neck, hands, feet, or genitals",170,"Excision of skin lesion"
"11640","Removal of malignant growth (0.5 centimeters or less) of the face, ears, eyelids, nose, or lips",170,"Excision of skin lesion"
"11641","Removal of malignant growth (0.6 to 1.0 centimeters) of the face, ears, eyelids, nose, or lips",170,"Excision of skin lesion"
"11642","Removal of malignant growth (1.1 to 2.0 centimeters) of the face, ears, eyelids, nose, or lips",170,"Excision of skin lesion"
"11643","Removal of malignant growth (2.1 to 3.0 centimeters) of the face, ears, eyelids, nose, or lips",170,"Excision of skin lesion"
"11644","Removal of malignant growth (3.1 to 4.0 centimeters) of the face, ears, eyelids, nose, or lips",170,"Excision of skin lesion"
"11646","Removal of malignant growth (over 4.0 centimeters) of the face, ears, eyelids, nose, or lips",170,"Excision of skin lesion"
"11719","Trimming of fingernails or toenails",174,"Other non-OR therapeutic procedures on skin and breast"
"11720","Removal of tissue from 1 to 5 finger or toe nails",174,"Other non-OR therapeutic procedures on skin and breast"
"11721","Removal of tissue from 6 or more finger or toe nails",174,"Other non-OR therapeutic procedures on skin and breast"
"11730","Separation of nail plate from nail bed",174,"Other non-OR therapeutic procedures on skin and breast"
"11732","Separation of nail plate from nail bed",174,"Other non-OR therapeutic procedures on skin and breast"
"11740","Removal of blood accumulation between nail and nail bed",168,"Incision and drainage, skin and subcutaneous tissue"
"11750","Removal of nail",174,"Other non-OR therapeutic procedures on skin and breast"
"11752","Removal of nail with amputation of fingertip",174,"Other non-OR therapeutic procedures on skin and breast"
"11755","Biopsy of finger or toe nail",173,"Other diagnostic procedures on skin and subcutaneous tissue"
"11760","Repair of finger or toe nail bed",175,"Other OR therapeutic procedures on skin and breast"
"11762","Repair of finger or toe nail bed with graft",175,"Other OR therapeutic procedures on skin and breast"
"11765","Removal of skin of finger or toe nail",174,"Other non-OR therapeutic procedures on skin and breast"
"11900","Injection of up to 7 skin growths",231,"Other therapeutic procedures"
"11901","Injection of more than 7 skin growths",231,"Other therapeutic procedures"
"11920","Introduction of pigment into skin (6.0 sq cm or less) to correct color defect",174,"Other non-OR therapeutic procedures on skin and breast"
"11921","Introduction of pigment into skin (6.1 to 20.0 sq cm) to correct color defect",174,"Other non-OR therapeutic procedures on skin and breast"
"11960","Insertion of tissue expanders for other than breast",175,"Other OR therapeutic procedures on skin and breast"
"11970","Replacement of tissue expander with permanent prosthesis",175,"Other OR therapeutic procedures on skin and breast"
"11980","Insertion of hormone pellets into tissue",231,"Other therapeutic procedures"
"11981","Insertion of drug delivery implant into tissue",231,"Other therapeutic procedures"
"11982","Removal of drug delivery implant from tissue",174,"Other non-OR therapeutic procedures on skin and breast"
"11983","Removal with reinsertion of drug delivery implant into tissue",231,"Other therapeutic procedures"
"12001","Repair of wound (2.5 centimeters or less) of the scalp, neck, underarms, trunk, arms and/or legs",171,"Suture of skin and subcutaneous tissue"
"12002","Repair of wound (2.6 to 7.5 centimeters) of the scalp, neck, underarms, genitals, trunk, arms and/or legs",171,"Suture of skin and subcutaneous tissue"
"12004","Repair of wound (7.6 to 12.5 centimeters) of the scalp, neck, underarms, genitals, trunk, arms and/or legs",171,"Suture of skin and subcutaneous tissue"
